SourceFile,FocusLocation,FocusDistance2,HyperfocalDistance
DSC06025.JPG,7008 4672 3504 2336,105.93 m,58.24 m
DSC06027.JPG,7008 4672 3504 2336,93.03 m,58.24 m
DSC06031.JPG,7008 3944 3504 1972,inf,58.24 m
DSC06036.JPG,7008 3944 3504 1972,85.31 m,58.24 m
DSC06038.JPG,7008 3944 3504 1972,68.71 m,58.24 m
DSC06039.JPG,7008 3944 3504 1972,68.71 m,58.24 m
DSC06045.JPG,7008 3944 3504 1972,68.71 m,58.24 m
DSC06046.JPG,7008 3944 3504 1972,68.71 m,58.24 m
DSC06047.JPG,7008 3944 3504 1972,89.09 m,58.24 m
DSC06054.JPG,7008 3944 3504 1972,89.09 m,58.24 m
DSC06055.JPG,7008 3944 3504 1972,89.09 m,58.24 m
DSC06057.JPG,7008 3944 3504 1972,89.09 m,58.24 m
DSC06061.JPG,7008 3944 3504 1972,89.09 m,58.24 m
DSC06064.JPG,7008 3944 3504 1972,89.09 m,58.24 m
DSC06067.JPG,7008 3944 3504 1972,89.09 m,58.24 m
DSC06072.JPG,7008 3944 3504 1972,89.09 m,58.24 m
DSC06074.JPG,7008 3944 3504 1972,89.09 m,58.24 m
DSC06075.JPG,7008 3944 3504 1972,89.09 m,58.24 m
DSC06080.JPG,7008 3944 3504 1972,89.09 m,58.24 m
DSC06081.JPG,7008 3944 3504 1972,89.09 m,58.24 m
DSC06084.JPG,7008 3944 3504 1972,89.09 m,58.24 m
DSC06085.JPG,7008 3944 3504 1972,89.09 m,58.24 m
DSC06087.JPG,7008 3944 3504 1972,89.09 m,58.24 m
DSC06089.JPG,7008 3944 3504 1972,71.75 m,58.24 m
DSC06094.JPG,7008 3944 3504 1972,71.75 m,58.24 m
DSC06096.JPG,7008 3944 3504 1972,85.31 m,58.24 m
DSC06097.JPG,7008 3944 3504 1972,85.31 m,58.24 m
DSC06098.JPG,7008 3944 3504 1972,85.31 m,58.24 m
DSC06099.JPG,7008 3944 3504 1972,85.31 m,58.24 m
DSC06128.JPG,7008 3944 3504 1972,110.62 m,58.24 m
DSC06133.JPG,7008 3944 3504 1972,110.62 m,58.24 m
DSC06135.JPG,7008 3944 3504 1972,105.93 m,58.24 m
DSC06137.JPG,7008 3944 3504 1972,93.03 m,58.24 m
DSC06138.JPG,7008 3944 3504 1972,89.09 m,58.24 m
DSC06139.JPG,7008 3944 3504 1972,97.14 m,58.24 m
DSC06140.JPG,7008 3944 3504 1972,97.14 m,58.24 m
DSC06141.JPG,7008 3944 3504 1972,97.14 m,58.24 m
DSC06142.JPG,7008 3944 3504 1972,97.14 m,58.24 m
DSC06143.JPG,7008 3944 3504 1972,97.14 m,58.24 m
DSC06144.JPG,7008 3944 3504 1972,93.03 m,58.24 m
DSC06145.JPG,7008 3944 3504 1972,93.03 m,58.24 m
DSC06146.JPG,7008 3944 3504 1972,93.03 m,58.24 m
DSC06147.JPG,7008 3944 3504 1972,93.03 m,58.24 m
DSC06148.JPG,7008 3944 3504 1972,93.03 m,58.24 m
DSC06149.JPG,7008 3944 3504 1972,93.03 m,58.24 m
DSC06155.JPG,7008 3944 3504 1972,89.09 m,58.24 m
DSC06160.JPG,7008 3944 3504 1972,81.70 m,58.24 m
DSC06161.JPG,7008 3944 3504 1972,81.70 m,58.24 m
DSC06163.JPG,7008 3944 3504 1972,89.09 m,58.24 m
DSC06166.JPG,7008 3944 3504 1972,97.14 m,58.24 m
DSC06171.JPG,7008 3944 3504 1972,97.14 m,58.24 m
DSC06172.JPG,7008 3944 3504 1972,97.14 m,58.24 m
DSC06174.JPG,7008 3944 3504 1972,101.44 m,58.24 m
DSC06178.JPG,7008 3944 3504 1972,101.44 m,58.24 m
DSC06179.JPG,7008 3944 3504 1972,101.44 m,58.24 m
DSC06183.JPG,7008 3944 3504 1972,101.44 m,58.24 m
DSC06185.JPG,7008 3944 3504 1972,101.44 m,58.24 m
DSC06187.JPG,7008 3944 3504 1972,101.44 m,58.24 m
DSC06192.JPG,7008 3944 3504 1972,93.03 m,58.24 m
DSC06196.JPG,7008 3944 3504 1972,93.03 m,58.24 m
DSC06197.JPG,7008 3944 3504 1972,93.03 m,58.24 m
DSC06198.JPG,7008 3944 3504 1972,93.03 m,58.24 m
DSC06199.JPG,7008 3944 3504 1972,93.03 m,58.24 m
DSC06200.JPG,7008 3944 3504 1972,93.03 m,58.24 m
DSC06201.JPG,7008 3944 3504 1972,93.03 m,58.24 m
DSC06202.JPG,7008 3944 3504 1972,93.03 m,58.24 m
DSC06203.JPG,7008 3944 3504 1972,93.03 m,58.24 m
DSC06204.JPG,7008 3944 3504 1972,105.93 m,58.24 m
DSC06205.JPG,7008 3944 3504 1972,105.93 m,58.24 m
DSC06211.JPG,7008 3944 3504 1972,105.93 m,58.24 m
DSC06212.JPG,7008 3944 3504 1972,105.93 m,58.24 m
DSC06214.JPG,7008 3944 3504 1972,110.62 m,58.24 m
DSC06218.JPG,7008 3944 3504 1972,110.62 m,58.24 m
DSC06221.JPG,7008 3944 3504 1972,110.62 m,58.24 m
DSC06224.JPG,7008 3944 3504 1972,110.62 m,58.24 m
DSC06229.JPG,7008 3944 3504 1972,97.14 m,58.24 m
DSC06233.JPG,7008 3944 3504 1972,97.14 m,58.24 m
DSC06234.JPG,7008 3944 3504 1972,97.14 m,58.24 m
DSC06236.JPG,7008 3944 3504 1972,97.14 m,58.24 m
DSC06238.JPG,7008 3944 3504 1972,97.14 m,58.24 m
DSC06239.JPG,7008 3944 3504 1972,97.14 m,58.24 m
DSC06240.JPG,7008 3944 3504 1972,97.14 m,58.24 m
DSC06241.JPG,7008 3944 3504 1972,97.14 m,58.24 m
DSC06244.JPG,7008 3944 3504 1972,125.96 m,58.24 m
SourceFile,FocusLocation,FocusDistance2,HyperfocalDistance
DSC05562.JPG,7008 3944 3504 1972,97.14 m,58.24 m
DSC05565.JPG,7008 3944 3504 1972,110.62 m,58.24 m
SourceFile,FocusLocation,FocusDistance2,HyperfocalDistance
DSC04627.JPG,7008 3944 3504 1972,inf,58.24 m
DSC04636.JPG,7008 3944 3504 1972,125.96 m,58.24 m
DSC04653.JPG,7008 3944 3504 1972,115.51 m,58.24 m
DSC04661.JPG,7008 3944 3504 1972,110.62 m,58.24 m
DSC04686.JPG,7008 3944 3504 1972,101.44 m,58.24 m
SourceFile,FocusLocation,FocusDistance2,HyperfocalDistance
DSC04457.JPG,7008 3944 3504 1972,inf,51.78 m
DSC04458.JPG,7008 3944 3504 1972,inf,51.78 m
DSC04459.JPG,7008 3944 3504 1972,inf,51.78 m
DSC04460.JPG,7008 3944 3504 1972,124.02 m,51.78 m
DSC04461.JPG,7008 3944 3504 1972,inf,51.78 m
DSC04464.JPG,7008 3944 3504 1972,inf,51.78 m
