SourceFile,FocusLocation,FocusDistance2,HyperfocalDistance
DSC04821.JPG,7008 3944 3504 1972,97.14 m,58.24 m
DSC04822.JPG,7008 3944 3504 1972,115.51 m,58.24 m
DSC04826.JPG,7008 3944 3504 1972,71.75 m,58.24 m
DSC04827.JPG,7008 3944 3504 1972,78.24 m,58.24 m
DSC04828.JPG,7008 3944 3504 1972,68.71 m,58.24 m
DSC04830.JPG,7008 3944 3504 1972,65.80 m,58.24 m
DSC04832.JPG,7008 3944 3504 1972,28.93 m,58.24 m
DSC04833.JPG,7008 3944 3504 1972,26.53 m,58.24 m
DSC04834.JPG,7008 3944 3504 1972,30.21 m,58.24 m
DSC04835.JPG,7008 3944 3504 1972,68.71 m,58.24 m
DSC04836.JPG,7008 3944 3504 1972,60.35 m,58.24 m
DSC04837.JPG,7008 3944 3504 1972,81.70 m,58.24 m
DSC04838.JPG,7008 3944 3504 1972,74.92 m,58.24 m
DSC04839.JPG,7008 3944 3504 1972,74.92 m,58.24 m
DSC04840.JPG,7008 3944 3504 1972,46.55 m,58.24 m
DSC04844.JPG,7008 3944 3504 1972,inf,6.85 m
DSC04849.JPG,7008 3944 3504 1972,inf,6.85 m
DSC04850.JPG,7008 3944 3504 1972,inf,6.85 m
DSC04852.JPG,7008 3944 3504 1972,inf,6.85 m
DSC04855.JPG,7008 3944 3504 1972,inf,6.85 m
DSC04857.JPG,7008 3944 3504 1972,inf,6.85 m
DSC04858.JPG,7008 3944 3504 1972,inf,6.85 m
DSC04859.JPG,7008 3944 3504 1972,inf,6.85 m
DSC04861.JPG,7008 3944 3504 1972,110.62 m,58.24 m
DSC04863.JPG,7008 3944 3504 1972,131.53 m,58.24 m
DSC04865.JPG,7008 3944 3504 1972,81.70 m,58.24 m
DSC04867.JPG,7008 3944 3504 1972,85.31 m,58.24 m
DSC04868.JPG,7008 3944 3504 1972,110.62 m,58.24 m
DSC04870.JPG,7008 3944 3504 1972,44.58 m,58.24 m
DSC04873.JPG,7008 3944 3504 1972,37.86 m,29.72 m
DSC04875.JPG,7008 3944 3504 1972,41.28 m,29.72 m
DSC04878.JPG,7008 3944 3504 1972,41.28 m,29.72 m
DSC04879.JPG,7008 3944 3504 1972,37.86 m,29.72 m
DSC04880.JPG,7008 3944 3504 1972,37.86 m,29.72 m
DSC04884.JPG,7008 3944 3504 1972,17.38 m,29.72 m
DSC04885.JPG,7008 3944 3504 1972,17.38 m,29.72 m
DSC04886.JPG,7008 3944 3504 1972,15.95 m,29.72 m
DSC04891.JPG,7008 3944 3504 1972,27.71 m,58.24 m
DSC04892.JPG,7008 3944 3504 1972,26.53 m,58.24 m
DSC04893.JPG,7008 3944 3504 1972,26.53 m,58.24 m
DSC04895.JPG,7008 3944 3504 1972,26.53 m,58.24 m
DSC04896.JPG,7008 3944 3504 1972,26.53 m,58.24 m
DSC04897.JPG,7008 3944 3504 1972,26.53 m,58.24 m
DSC04898.JPG,7008 3944 3504 1972,25.41 m,58.24 m
DSC04899.JPG,7008 3944 3504 1972,35.91 m,58.24 m
DSC04900.JPG,7008 3944 3504 1972,34.39 m,58.24 m
DSC04901.JPG,7008 3944 3504 1972,32.94 m,58.24 m
DSC04902.JPG,7008 3944 3504 1972,32.94 m,58.24 m
DSC04903.JPG,7008 3944 3504 1972,32.94 m,58.24 m
DSC04904.JPG,7008 3944 3504 1972,27.71 m,58.24 m
DSC04906.JPG,7008 3944 3504 1972,27.71 m,58.24 m
DSC04907.JPG,7008 3944 3504 1972,26.53 m,58.24 m
DSC04908.JPG,7008 3944 3504 1972,27.71 m,58.24 m
DSC04911.JPG,7008 3944 3504 1972,63.01 m,58.24 m
DSC04913.JPG,7008 3944 3504 1972,40.88 m,58.24 m
DSC04914.JPG,7008 3944 3504 1972,40.88 m,58.24 m
DSC04915.JPG,7008 3944 3504 1972,40.88 m,58.24 m
DSC04916.JPG,7008 3944 3504 1972,35.91 m,58.24 m
DSC04918.JPG,7008 3944 3504 1972,37.50 m,58.24 m
DSC04919.JPG,7008 3944 3504 1972,37.50 m,58.24 m
DSC04920.JPG,7008 3944 3504 1972,37.50 m,58.24 m
DSC04921.JPG,7008 3944 3504 1972,57.79 m,58.24 m
DSC04922.JPG,7008 3944 3504 1972,30.21 m,58.24 m
DSC04923.JPG,7008 3944 3504 1972,32.94 m,58.24 m
DSC04926.JPG,7008 3944 3504 1972,48.61 m,58.24 m
DSC04928.JPG,7008 3944 3504 1972,50.76 m,58.24 m
DSC04931.JPG,7008 3944 3504 1972,39.15 m,58.24 m
DSC04932.JPG,7008 3944 3504 1972,115.51 m,58.24 m
DSC04933.JPG,7008 3944 3504 1972,131.53 m,58.24 m
DSC04934.JPG,7008 3944 3504 1972,110.62 m,58.24 m
DSC04935.JPG,7008 3944 3504 1972,115.51 m,58.24 m
DSC04936.JPG,7008 3944 3504 1972,115.51 m,58.24 m
DSC04937.JPG,7008 3944 3504 1972,115.51 m,58.24 m
DSC04938.JPG,7008 3944 3504 1972,131.53 m,58.24 m
DSC04939.JPG,7008 3944 3504 1972,110.62 m,58.24 m
DSC04940.JPG,7008 3944 3504 1972,115.51 m,58.24 m
DSC04941.JPG,7008 3944 3504 1972,125.96 m,58.24 m
DSC04942.JPG,7008 3944 3504 1972,105.93 m,58.24 m
DSC04944.JPG,7008 3944 3504 1972,74.92 m,58.24 m
DSC04945.JPG,7008 3944 3504 1972,63.01 m,58.24 m
DSC04947.JPG,7008 3944 3504 1972,40.88 m,58.24 m
DSC04948.JPG,7008 3944 3504 1972,40.88 m,58.24 m
DSC04949.JPG,7008 3944 3504 1972,42.69 m,58.24 m
DSC04950.JPG,7008 3944 3504 1972,42.69 m,58.24 m
DSC04952.JPG,7008 3944 3504 1972,42.69 m,58.24 m
DSC04953.JPG,7008 3944 3504 1972,42.69 m,58.24 m
DSC04954.JPG,7008 3944 3504 1972,42.69 m,58.24 m
DSC04955.JPG,7008 3944 3504 1972,39.15 m,58.24 m
DSC04956.JPG,7008 3944 3504 1972,39.15 m,58.24 m
DSC04957.JPG,7008 3944 3504 1972,inf,6.85 m
DSC04958.JPG,7008 3944 3504 1972,inf,6.85 m
DSC04959.JPG,7008 3944 3504 1972,inf,6.85 m
DSC04960.JPG,7008 3944 3504 1972,inf,6.85 m
DSC04961.JPG,7008 3944 3504 1972,inf,6.85 m
DSC04962.JPG,7008 3944 3504 1972,inf,6.85 m
DSC04963.JPG,7008 3944 3504 1972,42.69 m,58.24 m
DSC04964.JPG,7008 3944 3504 1972,31.54 m,58.24 m
DSC04965.JPG,7008 3944 3504 1972,63.01 m,58.24 m
DSC04966.JPG,7008 3944 3504 1972,32.94 m,58.24 m
DSC04967.JPG,7008 3944 3504 1972,81.70 m,58.24 m
DSC04968.JPG,7008 3944 3504 1972,42.69 m,58.24 m
DSC04972.JPG,7008 3944 3504 1972,115.51 m,58.24 m
DSC04973.JPG,7008 3944 3504 1972,97.14 m,58.24 m
DSC04975.JPG,7008 3944 3504 1972,93.03 m,58.24 m
DSC04977.JPG,7008 3944 3504 1972,101.44 m,58.24 m
DSC04978.JPG,7008 3944 3504 1972,105.93 m,58.24 m
DSC04979.JPG,7008 3944 3504 1972,105.93 m,58.24 m
DSC04980.JPG,7008 3944 3504 1972,120.62 m,58.24 m
DSC04981.JPG,7008 3944 3504 1972,97.14 m,58.24 m
DSC04983.JPG,7008 3944 3504 1972,78.24 m,58.24 m
DSC04985.JPG,7008 3944 3504 1972,89.09 m,58.24 m
DSC04986.JPG,7008 3944 3504 1972,89.09 m,58.24 m
DSC04989.JPG,7008 3944 3504 1972,89.09 m,58.24 m
DSC04990.JPG,7008 3944 3504 1972,78.24 m,58.24 m
DSC04993.JPG,7008 3944 3504 1972,85.31 m,58.24 m
DSC04994.JPG,7008 3944 3504 1972,78.24 m,58.24 m
DSC04995.JPG,7008 3944 3504 1972,78.24 m,58.24 m
DSC04997.JPG,7008 3944 3504 1972,60.35 m,58.24 m
DSC04998.JPG,7008 3944 3504 1972,60.35 m,58.24 m
DSC04999.JPG,7008 3944 3504 1972,60.35 m,58.24 m
DSC05000.JPG,7008 3944 3504 1972,50.76 m,58.24 m
DSC05001.JPG,7008 3944 3504 1972,50.76 m,58.24 m
DSC05002.JPG,7008 3944 3504 1972,39.15 m,58.24 m
DSC05003.JPG,7008 3944 3504 1972,55.34 m,58.24 m
DSC05005.JPG,7008 3944 3504 1972,53.00 m,58.24 m
DSC05006.JPG,7008 3944 3504 1972,55.34 m,58.24 m
DSC05007.JPG,7008 3944 3504 1972,55.34 m,58.24 m
DSC05008.JPG,7008 3944 3504 1972,55.34 m,58.24 m
DSC05009.JPG,7008 3944 3504 1972,55.34 m,58.24 m
DSC05010.JPG,7008 3944 3504 1972,23.31 m,58.24 m
DSC05011.JPG,7008 3944 3504 1972,23.31 m,58.24 m
DSC05012.JPG,7008 3944 3504 1972,16.50 m,58.24 m
